Symbol,Absolute Occurences,Relative Occurences,Information Density,Huffman Code Sequence
e,1755.0,0.13836329233680228,2.8534668469119158,"= ""101"""
space,1623.0,0.12795648060548723,2.966274877555868,"= ""100"""
n,909.0,0.07166508987701041,3.802585677909732,"= ""1101"""
i,717.0,0.0565279091769158,4.1448928534019345,"= ""0110"""
r,707.0,0.05573951434878587,4.16515575729444,"= ""0100"""
t,616.0,0.04856512141280353,4.363935621408938,"= ""0010"""
d,603.0,0.04754020813623463,4.394707970203754,"= ""0001"""
s,586.0,0.04619993692841375,4.435965307681591,"= ""0000"""
h,491.0,0.03871018606117944,4.691142947789146,"= ""11101"""
\n,450.0,0.035477767265846734,4.816940970886803,"= ""11001"""
a,414.99999999999994,0.03271838536739199,4.933754635869552,"= ""01111"""
l,414.0,0.032639545884579,4.937235204604514,"= ""01110"""
u,336.0,0.026490066225165563,5.2384047393250786,"= ""01010"""
c,334.0,0.026332387259539576,5.247017869629787,"= ""00111"""
m,275.0,0.021680857773573006,5.527434353691818,"= ""111101"""
g,221.0,0.017423525701671397,5.8428196027124075,"= ""111000"""
",",212.0,0.01671397035635446,5.9028017075406405,"= ""110001"""
o,190.0,0.014979501734468622,6.060866553772891,"= ""010111"""
b,150.0,0.011825922421948912,6.401903471607958,"= ""1111111"""
f,144.0,0.011352885525070956,6.460797160661527,"= ""1111100"""
w,138.0,0.010879848628192999,6.52219770532567,"= ""1111001"""
z,101.0,0.007962787764112267,6.972510679352045,"= ""1100000"""
S,96.0,0.007568590350047304,7.045759661382683,"= ""0101101"""
k,93.0,0.007332071901608325,7.091563350995808,"= ""0101100"""
ü,77.0,0.006070640176600441,7.363935621408938,"= ""0011000"""
ß,72.0,0.005676442762535478,7.460797160661527,"= ""11111011"""
.,72.0,0.005676442762535478,7.460797160661527,"= ""11111010"""
ä,66.0,0.005203405865657522,7.586328042745386,"= ""11110000"""
H,66.0,0.005203405865657522,7.586328042745386,"= ""11100111"""
G,60.0,0.004730368968779565,7.7238315664953205,"= ""11100101"""
W,58.00000000000001,0.00457269000315358,7.772741166976267,"= ""11100100"""
!,48.0,0.003784295175023652,8.045759661382682,"= ""11000010"""
F,47.0,0.0037054556922106593,8.076133310426203,"= ""00110111"""
M,40.0,0.00315357931251971,8.308794067216477,"= ""00110100"""
ö,39.0,0.0030747398297067173,8.345319943241591,"= ""00110011"""
B,38.0,0.0029959003468937244,8.382794648660253,"= ""00110010"""
p,38.0,0.0029959003468937244,8.382794648660253,"= ""111111011"""
;,37.0,0.002917060864080732,8.42126879647489,"= ""111111010"""
v,36.0,0.002838221381267739,8.460797160661526,"= ""111111000"""
',35.0,0.0027593818984547464,8.501439145158873,"= ""111100011"""
D,33.0,0.002601702932828761,8.586328042745386,"= ""111001101"""
L,31.000000000000004,0.0024440239672027754,8.676525851716963,"= ""111001100"""
K,29.000000000000004,0.00228634500157679,8.772741166976267,"= ""110000111"""
A,21.0,0.0016556291390728477,9.238404739325079,"= ""001101011"""
E,21.0,0.0016556291390728477,9.238404739325079,"= ""001101010"""
T,19.0,0.0014979501734468622,9.382794648660253,"= ""1111110011"""
Z,18.0,0.0014191106906338694,9.460797160661526,"= ""1111110010"""
V,17.0,0.0013402712078208767,9.5432593208535,"= ""1111000100"""
R,15.0,0.0011825922421948912,9.72383156649532,"= ""1100001101"""
P,11.0,0.0008672343109429202,10.171290543466542,"= ""0011011010"""
N,11.0,0.0008672343109429202,10.171290543466542,"= ""0011011001"""
j,10.0,0.0007883948281299275,10.308794067216477,"= ""0011011000"""
U,8.0,0.000630715862503942,10.63072216210384,"= ""11110001010"""
J,7.0,0.0005518763796909492,10.823367240046235,"= ""11000011000"""
"""",6.0,0.0004730368968779565,11.045759661382682,"= ""00110110111"""
O,6.0,0.0004730368968779565,11.045759661382682,"= ""00110110110"""
?,4.0,0.000315357931251971,11.63072216210384,"= ""110000110011"""
I,3.0,0.00023651844843897824,12.045759661382682,"= ""110000110010"""
:,3.0,0.00023651844843897824,12.045759661382682,"= ""1111000101111"""
C,2.0,0.0001576789656259855,12.63072216210384,"= ""1111000101100"""
y,1.0,7.883948281299275e-05,13.63072216210384,"= ""11110001011101"""
-,1.0,7.883948281299275e-05,13.63072216210384,"= ""11110001011100"""
Q,1.0,7.883948281299275e-05,13.63072216210384,"= ""11110001011011"""
q,1.0,7.883948281299275e-05,13.63072216210384,"= ""11110001011010"""
